iter	RMSE
0	3.119995197
1	2.380530394
2	1.879828701
3	1.5392798
4	1.306406273
5	1.144266696
6	1.040011353
7	0.9631240534
8	0.9024878752
9	0.8592521639
10	0.8322682455
11	0.8088413945
12	0.7868847254
13	0.7716904998
14	0.7518495773
15	0.7445742529
16	0.72656986
17	0.7210756871
18	0.7071568071
19	0.7027368647
20	0.6946028549
21	0.6836496106
22	0.6759373424
23	0.669655667
24	0.6604577998
25	0.6525342718
26	0.6467207041
27	0.6322221294
28	0.6264218491
29	0.6188405469
30	0.6148927917
31	0.6049924891
32	0.5953583758
33	0.5859143131
34	0.5827058809
35	0.5747712254
36	0.5672541476
37	0.5639347585
38	0.5579307509
39	0.5514337736
40	0.5441472715
41	0.5372837976
42	0.5316023347
43	0.5249126037
44	0.5198727647
45	0.5180850699
46	0.5113550478
47	0.5067170439
48	0.5046789198
49	0.5009661609
50	0.4976243117
51	0.4935858346
52	0.4883904431
53	0.4854188651
54	0.4833440088
55	0.480249479
56	0.4760138188
57	0.4730834537
58	0.467853413
59	0.4639110579
60	0.4614570588
61	0.4573423862
62	0.4543505581
63	0.4509208641
64	0.4489715122
65	0.4453573483
66	0.4426559189
67	0.4394706711
68	0.4370322765
69	0.4339389439
70	0.4325166739
71	0.43016189
72	0.4276615209
73	0.4245451643
74	0.4216071518
75	0.4196343293
76	0.4172406252
77	0.4137161854
78	0.4113009656
79	0.4076662516
80	0.4051371721
81	0.40272882
82	0.4013236259
83	0.3997083077
84	0.397867288
85	0.3960607604
86	0.3944179227
87	0.3929190037
88	0.3919578156
89	0.3900273873
90	0.3889612962
91	0.3870620534
92	0.3848883094
93	0.3827532827
94	0.3813079223
95	0.3795367097
96	0.3776788534
97	0.3755239355
98	0.3735391287
99	0.3715319158
100	0.3697657005
101	0.3683268245
102	0.3670876817
103	0.3651785651
104	0.3639911264
105	0.3627577528
106	0.3615255255
107	0.360256161
108	0.3595279672
109	0.3567628068
110	0.3554313651
111	0.3541901114
112	0.3525999049
113	0.3514248754
114	0.3500300254
115	0.348981909
116	0.3475571413
117	0.3467864963
118	0.3456675691
119	0.3441489247
120	0.3430726456
121	0.3424610553
122	0.3403068425
123	0.3392301081
124	0.3379146799
125	0.3366815144
126	0.3358266021
127	0.3343878378
128	0.3330782614
129	0.3316442825
130	0.3309207338
131	0.3300384067
132	0.3293132636
133	0.3283994983
134	0.3272936282
135	0.3260715098
136	0.3247409158
137	0.3241683515
138	0.3232086089
139	0.3226567185
140	0.3208984824
141	0.3201255354
142	0.3194967705
143	0.3188443414
144	0.3173605938
145	0.3164259022
146	0.3149171394
147	0.314289447
148	0.3128001836
149	0.3118614172
150	0.3106257151
151	0.3099772596
152	0.3096580928
153	0.3093508633
154	0.3083142402
155	0.3074638727
156	0.30685902
157	0.3059139105
158	0.3046988665
159	0.3036654893
160	0.3025664592
161	0.3014066906
162	0.3008750865
163	0.3002365403
164	0.2993577139
165	0.2987448098
166	0.2979044585
167	0.2969958326
168	0.2964779267
169	0.2956223038
170	0.2949100859
171	0.294188283
172	0.2936030456
173	0.2931447142
174	0.2927681111
175	0.292282224
176	0.2908842105
177	0.2903082768
178	0.2896923539
179	0.2892244661
180	0.2889756987
181	0.2878790668
182	0.2868873809
183	0.2861187581
184	0.2855209363
185	0.2843502626
186	0.2839897921
187	0.2834652913
188	0.2823208929
189	0.2818872728
190	0.2813840833
191	0.2808520953
192	0.2804712427
193	0.27995016
194	0.2794027793
195	0.2787606138
196	0.2783909028
197	0.2777693887
198	0.2770796831
199	0.2760565319
200	0.2757537221
201	0.2753677759
202	0.275083479
203	0.2743600377
204	0.273827718
205	0.2734267335
206	0.2729708973
207	0.2724102105
208	0.2718635329
209	0.2713537013
210	0.2706320044
211	0.2701801325
212	0.2696548386
213	0.2689090868
214	0.2685581736
215	0.2670401203
216	0.2667322538
217	0.2663383513
218	0.2658890029
219	0.2655105117
220	0.2647358935
221	0.2641472355
222	0.2630350221
223	0.2624720059
224	0.2621689769
225	0.2613358163
226	0.2609296732
227	0.2605088493
228	0.260060821
229	0.2594910287
230	0.2590899331
231	0.2583363632
232	0.2579525627
233	0.2573467536
234	0.2566190124
235	0.2561352149
236	0.2557420446
237	0.2555406338
238	0.2550536732
239	0.2548080747
240	0.2545334153
241	0.2535847275
242	0.2529174832
243	0.2525669449
244	0.25139553
245	0.2509535217
246	0.2501039579
247	0.2498244911
248	0.2493129332
249	0.2490267166
250	0.2487876704
251	0.2483758381
252	0.2479268247
253	0.2471881249
254	0.2466326854
255	0.2460239931
256	0.2452624045
257	0.2446626529
258	0.2441715173
259	0.2438865913
260	0.2431104183
261	0.2425250296
262	0.2420565007
263	0.2415794196
264	0.2410409804
265	0.240563147
266	0.2401676048
267	0.239322568
268	0.2391158038
269	0.2388743796
270	0.2382586211
271	0.2378347227
272	0.2371874144
273	0.2363639519
274	0.2359696611
275	0.235591259
276	0.2352736264
277	0.2349863056
278	0.2345336735
279	0.2340959589
280	0.2338405882
281	0.2330997485
282	0.2328915422
283	0.2325313922
284	0.2322604863
285	0.2319023939
286	0.2316208125
287	0.2314044522
288	0.2310408388
289	0.2307852049
290	0.2304684545
291	0.2302910069
292	0.2300572085
293	0.2298025717
