iter	Passed	Remaining
0	362	362355
1	658	328394
2	1022	339948
3	1353	337005
4	1671	332651
5	2110	349589
6	2421	343461
7	2729	338480
8	3086	339902
9	3421	338738
10	3712	333807
11	3991	328666
12	4311	327348
13	4566	321633
14	4911	322544
15	5245	322584
16	5633	325739
17	5960	325204
18	6433	332189
19	6712	328918
20	6931	323145
21	7386	328342
22	7703	327241
23	7964	323885
24	8336	325104
25	8637	323570
26	8955	322724
27	9262	321546
28	9531	319142
29	9908	320360
30	10196	318734
31	10549	319107
32	10906	319586
33	11243	319443
34	11497	317012
35	11793	315809
36	12154	316337
37	12441	314963
38	12726	313595
39	13052	313248
40	13378	312932
41	13706	312637
42	14107	313966
43	14512	315317
44	14932	316897
45	15219	315649
46	15599	316295
47	15866	314690
48	16083	312151
49	16435	312268
50	16837	313305
51	17325	315861
52	17667	315677
53	17950	314458
54	18338	315093
55	18552	312743
56	18909	312830
57	19197	311799
58	19467	310495
59	19745	309342
60	20111	309578
61	20465	309622
62	20837	309910
63	21212	310230
64	21540	309849
65	21863	309406
66	22209	309280
67	22463	307881
68	22726	306646
69	22977	305276
70	23261	304368
71	23679	305196
72	24023	305065
73	24368	304931
74	24591	303289
75	24937	303182
76	25256	302745
77	25586	302444
78	25904	301997
79	26221	301545
80	26624	302077
81	26953	301749
82	27291	301523
83	27642	301436
84	28233	303920
85	28748	305533
86	29159	306002
87	29422	304919
88	29667	303678
89	30034	303682
90	30379	303460
91	30771	303702
92	31008	302418
93	31314	301819
94	31580	300849
95	31963	300991
96	32295	300651
97	32565	299731
98	32902	299446
99	33211	298907
100	33574	298848
101	33891	298373
102	34247	298249
103	34564	297790
104	35139	299524
105	35712	301196
106	36189	302033
107	36665	302827
108	36944	301996
109	37322	301972
110	37708	302009
111	38120	302239
112	38431	301669
113	38798	301536
114	39164	301395
115	39520	301172
116	39826	300568
117	40399	301972
118	40835	302319
119	41097	301379
120	41445	301078
121	41675	299924
122	41937	299015
123	42237	298387
124	42497	297482
125	42756	296583
126	43045	295894
127	43336	295227
128	43624	294548
129	43872	293604
130	44270	293669
131	44653	293633
132	45012	293425
133	45267	292546
134	45621	292315
135	45849	291278
136	46137	290632
137	46519	290577
138	46859	290257
139	47098	289319
140	47398	288762
141	47644	287877
142	48092	288217
143	48467	288113
144	48762	287530
145	49113	287277
146	49363	286445
147	49645	285798
148	49913	285076
149	50226	284619
150	50495	283911
151	50737	283061
152	50985	282255
153	51210	281325
154	51537	280964
155	51888	280732
156	52159	280067
157	52445	279490
158	52711	278809
159	53029	278403
160	53282	277664
161	53529	276900
162	53928	276921
163	54259	276592
164	54578	276198
165	55008	276370
166	55294	275809
167	55606	275385
168	55863	274690
169	56218	274478
170	56547	274138
171	56832	273589
172	57071	272821
173	57397	272474
174	57787	272427
175	58232	272636
176	58680	272845
177	59150	273154
178	59487	272844
179	59901	272884
180	60204	272415
181	60453	271709
182	60725	271107
183	60995	270500
184	61374	270379
185	61683	269949
186	62084	269917
187	62498	269938
188	62858	269728
189	63296	269843
190	63669	269679
191	64065	269608
192	64476	269600
193	64816	269289
194	65194	269137
195	65524	268783
196	65911	268665
197	66172	268033
198	66462	267521
199	66709	266838
200	67039	266489
201	67275	265772
202	67543	265184
203	67779	264472
204	68101	264100
205	68377	263551
206	68792	263537
207	69173	263390
208	69455	262867
209	69730	262317
210	70120	262203
211	70502	262055
212	70873	261865
213	71187	261462
214	71505	261079
215	71851	260794
216	72100	260158
217	72475	259981
218	72846	259786
219	73190	259495
220	73510	259117
221	73882	258923
222	74243	258687
223	74493	258068
224	74769	257540
225	75137	257330
226	75376	256679
227	75763	256532
228	76233	256662
229	76635	256563
230	76892	255974
231	77273	255803
232	77690	255746
233	78048	255493
234	78342	255031
235	78700	254776
236	79098	254649
237	79504	254547
238	79855	254267
239	80115	253698
240	80470	253430
241	80779	253021
242	81070	252554
243	81400	252207
244	81726	251849
245	82062	251524
246	82440	251328
247	82833	251173
248	83235	251042
249	83640	250921
250	83969	250569
251	84322	250290
252	84676	250012
253	84938	249466
254	85219	248975
255	85663	248958
256	85941	248460
257	86189	247879
258	86518	247530
259	86927	247408
260	87209	246927
261	87460	246359
262	87785	246000
263	88066	245518
264	88361	245078
265	88636	244582
266	89071	244530
267	89359	244071
268	89766	243936
269	90130	243685
270	90361	243076
271	90710	242784
272	91019	242385
273	91317	241957
274	91650	241624
275	92111	241625
276	92496	241425
277	93090	241768
278	93519	241676
279	93857	241347
280	94172	240959
281	94481	240558
282	94787	240151
283	95121	239814
284	95599	239837
285	95918	239461
286	96209	239015
287	96577	238760
288	96869	238318
289	97303	238225
290	97731	238115
291	98360	238490
292	98975	238825
293	99461	238842
294	100032	239060
295	100458	238928
296	100845	238700
297	101280	238586
298	101743	238536
299	102309	238723
300	102718	238540
301	103218	238565
302	103634	238393
303	103952	237997
304	104293	237653
305	104735	237537
306	105303	237705
307	105848	237816
308	106323	237764
309	106825	237773
310	107151	237387
311	107504	237060
312	107982	237008
313	108396	236816
314	108753	236495
315	109185	236338
316	109537	236005
317	109988	235887
318	110377	235632
319	110685	235207
320	111031	234860
321	111409	234582
322	111691	234101
323	112089	233865
324	112491	233636
325	112825	233265
